digit_ID;photo_ID;specimen;species;wing;wings;state
1;CL16_002_achillesM;achilles02;achilles;FWL;FW;Dam
2;CL16_002_achillesM;achilles02;achilles;FWR;FW;Dam
3;CL16_003_menelausM_FW;menelaus03;menelaus;FWL;FW;Dam
4;CL16_003_menelausM_FW;menelaus03;menelaus;FWR;FW;Dam
5;CL16_004_helenorM;helenor04;helenor;FWL;FW;GS
6;CL16_004_helenorM;helenor04;helenor;FWR;FW;GS
7;CL16_005_helenorM;helenor05;helenor;FWL;FW;Dam
8;CL16_005_helenorM;helenor05;helenor;FWR;FW;Dam
9;CL16_006_helenorM;helenor06;helenor;FWL;FW;Dam
10;CL16_006_helenorM;helenor06;helenor;FWR;FW;Dam
11;CL16_008_achillesM;achilles08;achilles;FWL;FW;Dam
12;CL16_008_achillesM;achilles08;achilles;FWR;FW;Dam
13;CL16_009_achillesM;achilles09;achilles;FWL;FW;GS
14;CL16_009_achillesM;achilles09;achilles;FWR;FW;GS
15;CL16_010_helenorM;helenor10;helenor;FWL;FW;Dam
16;CL16_010_helenorM;helenor10;helenor;FWR;FW;Dam
17;CL16_011_helenorF;helenor11;helenor;FWL;FW;Dam
18;CL16_011_helenorF;helenor11;helenor;FWR;FW;Dam
19;CL16_013_helenorF;helenor13;helenor;FWL;FW;Dam
20;CL16_013_helenorF;helenor13;helenor;FWR;FW;Dam
21;CL16_014_helenorM;helenor14;helenor;FWL;FW;Dam
22;CL16_014_helenorM;helenor14;helenor;FWR;FW;Dam
23;CL16_015_helenorM;helenor15;helenor;FWL;FW;GS
24;CL16_015_helenorM;helenor15;helenor;FWR;FW;GS
25;CL16_016_achillesM;achilles16;achilles;FWL;FW;Dam
26;CL16_016_achillesM;achilles16;achilles;FWR;FW;Dam
27;CL16_017_menelausM;menelaus17;menelaus;FWL;FW;Dam
28;CL16_017_menelausM;menelaus17;menelaus;FWR;FW;Dam
29;CL16_019_helenorM;helenor19;helenor;FWL;FW;Dam
30;CL16_019_helenorM;helenor19;helenor;FWR;FW;Dam
31;CL16_020_helenorM;helenor20;helenor;FWL;FW;Dam
32;CL16_020_helenorM;helenor20;helenor;FWR;FW;Dam
33;CL16_021_cisseisM_FW;cisseis21;cisseis;FWL;FW;Dam
34;CL16_021_cisseisM_FW;cisseis21;cisseis;FWR;FW;Dam
35;CL16_022_menelausM;menelaus22;menelaus;FWL;FW;Dam
36;CL16_022_menelausM;menelaus22;menelaus;FWR;FW;Dam
37;CL16_024_achillesM;achilles24;achilles;FWL;FW;GS
38;CL16_024_achillesM;achilles24;achilles;FWR;FW;GS
39;CL16_025_deidamiaF_FW;deidamia25;deidamia;FWL;FW;Dam
40;CL16_025_deidamiaF_FW;deidamia25;deidamia;FWR;FW;Dam
